State,Capital,CapitalPop
Alabama,Montgomery,198665
Alaska,Juneau,31973
Arizona,Phoenix,1624569
Arkansas,Little Rock,201998
California,Sacramento,525041
Colorado,Denver,711463
Connecticut,Hartford,120576
Delaware,Dover,38992
Florida,Tallahassee,197102
Georgia,Atlanta,496461
Hawaii,Honolulu,345510
Idaho,Boise,237446
Illinois,Springfield,113394
Indiana,Indianapolis,882039
Iowa,Des Moines,212031
Kansas,Topeka,125963
Kentucky,Frankfort,28595
Louisiana,Baton Rouge,222185
Maine,Augusta,18968
Maryland,Annapolis,40687
Massachusetts,Boston,654776
Michigan,Lansing,112684
Minnesota,Saint Paul,307193
Mississippi,Jackson,149761
Missouri,Jefferson City,42772
Montana,Helena,33120
Nebraska,Lincoln,292657
Nevada,Carson City,58993
New Hampshire,Concord,44006
New Jersey,Trenton,90457
New Mexico,Santa Fe,88193
New York,Albany,98617
North Carolina,Raleigh,469124
North Dakota,Bismarck,74138
Ohio,Columbus,906528
Oklahoma,Oklahoma City,687725
Oregon,Salem,177723
Pennsylvania,Harrisburg,50135
Rhode Island,Providence,189692
South Carolina,Columbia,137541
South Dakota,Pierre,14000
Tennessee,Nashville,678851
Texas,Austin,964177
Utah,Salt Lake City,200478
Vermont,Montpelier,8002
Virginia,Richmond,226604
Washington,Olympia,55919
West Virginia,Charleston,48018
Wisconsin,Madison,269196
Wyoming,Cheyenne,65051